"COUNTRY","Country","WEEK","Week number","GENDER","Gender","AGE","Age","VARIABLE","Variable","YEAR","Year","Value","Flag Codes","Flags"
"EST","Estonia","26","26","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2023","2023",0,,
"GRC","Greece","23","23","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2020","2020",0.1,,
"GRC","Greece","23","23","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2021","2021",5.7,,
"GRC","Greece","23","23","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2022","2022",4.2,,
"GRC","Greece","23","23","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2023","2023",1.7,,
"GBR","United Kingdom","2","2","MALE","Males","Y_GE65","65 and over","COVIDNB","COVID-19 deaths (number)","2020","2020",0,,
"GBR","United Kingdom","2","2","MALE","Males","Y_GE65","65 and over","COVIDNB","COVID-19 deaths (number)","2021","2021",3533,,
"GBR","United Kingdom","2","2","MALE","Males","Y_GE65","65 and over","COVIDNB","COVID-19 deaths (number)","2022","2022",712,,
"GBR","United Kingdom","2","2","MALE","Males","Y_GE65","65 and over","COVIDNB","COVID-19 deaths (number)","2023","2023",523,,
"GBR","United Kingdom","43","43","FEMALE","Females","Y45T64","45 to 64","COVIDNB","COVID-19 deaths (number)","2020","2020",37,,
"GBR","United Kingdom","43","43","FEMALE","Females","Y45T64","45 to 64","COVIDNB","COVID-19 deaths (number)","2021","2021",60,,
"GBR","United Kingdom","43","43","FEMALE","Females","Y45T64","45 to 64","COVIDNB","COVID-19 deaths (number)","2022","2022",27,,
"GBR","United Kingdom","43","43","FEMALE","Females","Y45T64","45 to 64","COVIDNB","COVID-19 deaths (number)","2023","2023",7,,
"NOR","Norway","51","51","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2020","2020",3.8,,
"NOR","Norway","51","51","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2021","2021",2.6,,
"BEL","Belgium","25","25","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2020","2020",40,,
"BEL","Belgium","25","25","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2021","2021",23,,
"BEL","Belgium","25","25","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2022","2022",35,,
"BEL","Belgium","25","25","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2023","2023",2,,
"ESP","Spain","41","41","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2020","2020",944,,
"ESP","Spain","41","41","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2021","2021",129,,
"ESP","Spain","41","41","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2022","2022",147,,
"AUS","Australia","36","36","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2020","2020",58,,
"AUS","Australia","36","36","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2021","2021",56,,
"AUS","Australia","36","36","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2022","2022",214,,
"AUS","Australia","36","36","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2023","2023",40,,
"KOR","Korea","2","2","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2020","2020",0,,
"KOR","Korea","2","2","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2021","2021",124,,
"KOR","Korea","2","2","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2022","2022",262,,
"KOR","Korea","2","2","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2023","2023",0,,
"KOR","Korea","2","2","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2024","2024",0,,
"LUX","Luxembourg","29","29","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2020","2020",4.1,,
"LUX","Luxembourg","29","29","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2021","2021",4.5,,
"LUX","Luxembourg","29","29","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2022","2022",3.8,,
"AUT","Austria","19","19","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2020","2020",32,,
